p_pu,p_up,p_lu,ratio,Run,followers,leaders,pheromone,unassigned
0.132119140625,0.5435478515625,0.12652734375,0.5966044921875,0,0,0,105,0
0.158880859375,0.5435478515625,0.12652734375,0.5966044921875,1,0,0,105,0
0.132119140625,0.8248076171875001,0.12652734375,0.5966044921875,2,0,0,105,0
0.132119140625,0.5435478515625,0.01119921875,0.5966044921875,3,2,2,99,2
0.132119140625,0.5435478515625,0.12652734375,0.6320068359375,4,0,0,105,0
0.132119140625,0.8248076171875001,0.01119921875,0.6320068359375,5,8,10,85,2
0.158880859375,0.5435478515625,0.01119921875,0.6320068359375,6,4,4,83,14
0.158880859375,0.8248076171875001,0.12652734375,0.6320068359375,7,0,0,105,0
0.158880859375,0.8248076171875001,0.01119921875,0.5966044921875,8,8,9,84,4
0.158880859375,0.8248076171875001,0.01119921875,0.6320068359375,9,8,11,83,3
0.35311914062499994,0.7170478515625001,0.00452734375,0.5171044921875,10,26,29,0,50
0.37988085937499994,0.7170478515625001,0.00452734375,0.5171044921875,11,34,37,0,34
0.35311914062499994,0.6513076171875,0.00452734375,0.5171044921875,12,23,25,0,57
0.35311914062499994,0.7170478515625001,0.13319921875,0.5171044921875,13,0,0,105,0
0.35311914062499994,0.7170478515625001,0.00452734375,0.5525068359375,14,29,29,0,47
0.35311914062499994,0.6513076171875,0.13319921875,0.5525068359375,15,0,0,105,0
0.37988085937499994,0.7170478515625001,0.13319921875,0.5525068359375,16,0,0,105,0
0.37988085937499994,0.6513076171875,0.00452734375,0.5525068359375,17,38,43,0,24
0.37988085937499994,0.6513076171875,0.13319921875,0.5171044921875,18,0,0,105,0
0.37988085937499994,0.6513076171875,0.13319921875,0.5525068359375,19,0,0,105,0
0.463619140625,0.6302978515625,0.18752734375,0.6363544921875,20,0,0,105,0
0.269380859375,0.6302978515625,0.18752734375,0.6363544921875,21,0,0,105,0
0.463619140625,0.5645576171875,0.18752734375,0.6363544921875,22,0,0,0,105
0.463619140625,0.6302978515625,0.07219921875,0.6363544921875,23,0,0,105,0
0.463619140625,0.6302978515625,0.18752734375,0.5127568359375,24,0,0,105,0
0.463619140625,0.5645576171875,0.07219921875,0.5127568359375,25,0,0,105,0
0.269380859375,0.6302978515625,0.07219921875,0.5127568359375,26,0,0,105,0
0.269380859375,0.5645576171875,0.18752734375,0.5127568359375,27,0,0,105,0
0.269380859375,0.5645576171875,0.07219921875,0.6363544921875,28,0,0,105,0
0.269380859375,0.5645576171875,0.07219921875,0.5127568359375,29,0,0,105,0
0.24261914062499998,0.8037978515624999,0.06552734375,0.5568544921875,30,0,0,105,0
0.048380859375,0.8037978515624999,0.06552734375,0.5568544921875,31,0,0,105,0
0.24261914062499998,0.7380576171875,0.06552734375,0.5568544921875,32,0,0,105,0
0.24261914062499998,0.8037978515624999,0.19419921874999999,0.5568544921875,33,0,0,105,0
0.24261914062499998,0.8037978515624999,0.06552734375,0.5922568359375,34,0,0,105,0
0.24261914062499998,0.7380576171875,0.19419921874999999,0.5922568359375,35,0,0,105,0
0.048380859375,0.8037978515624999,0.19419921874999999,0.5922568359375,36,0,0,105,0
0.048380859375,0.7380576171875,0.06552734375,0.5922568359375,37,0,0,105,0
0.048380859375,0.7380576171875,0.19419921874999999,0.5568544921875,38,0,0,105,0
0.048380859375,0.7380576171875,0.19419921874999999,0.5922568359375,39,0,0,105,0
0.18736914062499999,0.6736728515625,0.03502734375,0.5369794921875,40,0,0,105,0
0.103630859375,0.6736728515625,0.03502734375,0.5369794921875,41,0,0,105,0
0.18736914062499999,0.7814326171875,0.03502734375,0.5369794921875,42,0,0,105,0
0.18736914062499999,0.6736728515625,0.10269921875,0.5369794921875,43,0,0,105,0
0.18736914062499999,0.6736728515625,0.03502734375,0.4928818359375,44,0,0,105,0
0.18736914062499999,0.7814326171875,0.10269921875,0.4928818359375,45,0,0,105,0
0.103630859375,0.6736728515625,0.10269921875,0.4928818359375,46,0,0,105,0
0.103630859375,0.7814326171875,0.03502734375,0.4928818359375,47,0,0,105,0
0.103630859375,0.7814326171875,0.10269921875,0.5369794921875,48,0,0,105,0
0.103630859375,0.7814326171875,0.10269921875,0.4928818359375,49,0,0,105,0
0.40836914062499996,0.8471728515625,0.15702734375,0.6164794921875,50,0,0,105,0
0.324630859375,0.8471728515625,0.15702734375,0.6164794921875,51,0,0,105,0
0.40836914062499996,0.6079326171875,0.15702734375,0.6164794921875,52,0,0,105,0
0.40836914062499996,0.8471728515625,0.22469921874999998,0.6164794921875,53,0,0,105,0
0.40836914062499996,0.8471728515625,0.15702734375,0.5723818359375,54,0,0,105,0
0.40836914062499996,0.6079326171875,0.22469921874999998,0.5723818359375,55,0,0,105,0
0.324630859375,0.8471728515625,0.22469921874999998,0.5723818359375,56,0,0,105,0
0.324630859375,0.6079326171875,0.15702734375,0.5723818359375,57,0,0,105,0
0.324630859375,0.6079326171875,0.22469921874999998,0.6164794921875,58,0,0,105,0
0.324630859375,0.6079326171875,0.22469921874999998,0.5723818359375,59,0,0,105,0
0.2978691406249999,0.5869228515625,0.09602734375,0.4972294921875,60,0,0,105,0
0.43513085937499996,0.5869228515625,0.09602734375,0.4972294921875,61,0,0,105,0
0.2978691406249999,0.5211826171875,0.09602734375,0.4972294921875,62,0,0,105,0
0.2978691406249999,0.5869228515625,0.041699218749999996,0.4972294921875,63,0,0,105,0
0.2978691406249999,0.5869228515625,0.09602734375,0.6121318359375,64,0,0,105,0
0.2978691406249999,0.5211826171875,0.041699218749999996,0.6121318359375,65,0,0,105,0
