p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,0,0,0,256,0
0.5590136718750001,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,1,0,0,256,0
0.578564453125,0.05267578125,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,2,0,0,256,0
0.578564453125,0.05994140625,0.552734375,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,3,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.55611328125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,4,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.11513671874999999,0.315361328125,0.45229492187500003,256.0,12.0,5,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.27717773437500004,0.45229492187500003,256.0,12.0,6,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.468505859375,256.0,12.0,7,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,12.0,8,0,0,256,0
0.578564453125,0.05994140625,0.700390625,0.60767578125,0.08408203125,0.315361328125,0.45229492187500003,256.0,11.0,9,0,0,256,0
0.578564453125,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,10,0,0,256,0
0.5590136718750001,0.05994140625,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,11,0,0,256,0
0.5590136718750001,0.05267578125,0.700390625,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,12,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.60767578125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,13,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.08408203125,0.27717773437500004,0.468505859375,256.0,11.0,14,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.315361328125,0.468505859375,256.0,11.0,15,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.45229492187500003,256.0,11.0,16,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,17,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,12.0,18,0,0,256,0
0.5590136718750001,0.05267578125,0.552734375,0.55611328125,0.11513671874999999,0.27717773437500004,0.468505859375,256.0,11.0,19,0,0,256,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,20,0,0,255,0
0.624013671875,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,21,0,0,255,0
0.643564453125,0.36267578125,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,22,0,0,255,0
0.643564453125,0.36994140625,0.832734375,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,23,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.6061132812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,24,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.26513671875,0.29036132812500004,0.477294921875,255.0,11.0,25,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.302177734375,0.477294921875,255.0,11.0,26,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.493505859375,255.0,11.0,27,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,11.0,28,0,0,255,0
0.643564453125,0.36994140625,0.42039062499999996,0.5576757812500001,0.23408203125,0.29036132812500004,0.477294921875,255.0,12.0,29,0,0,255,0
0.643564453125,0.36267578125,0.832734375,0.6061132812500001,0.26513671875,0.302177734375,0.493505859375,255.0,12.0,30,0,0,255,0
0.624013671875,0.36994140625,0.832734375,0.6061132812500001,0.26513671875,0.302177734375,0.493505859375,255.0,12.0,31,0,0,255,0
0.624013671875,0.36267578125,0.42039062499999996,0.6061132812500001,0.26513671875,0.302177734375,0.493505859375,255.0,12.0,32,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.5576757812500001,0.26513671875,0.302177734375,0.493505859375,255.0,12.0,33,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.6061132812500001,0.23408203125,0.302177734375,0.493505859375,255.0,12.0,34,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.6061132812500001,0.26513671875,0.29036132812500004,0.493505859375,255.0,12.0,35,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.6061132812500001,0.26513671875,0.302177734375,0.477294921875,255.0,12.0,36,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.6061132812500001,0.26513671875,0.302177734375,0.493505859375,255.0,12.0,37,0,0,255,0
0.624013671875,0.36267578125,0.832734375,0.6061132812500001,0.26513671875,0.302177734375,0.493505859375,255.0,11.0,38,0,0,255,0
