,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
94,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,0,0,0,0,100
144,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,1,0,0,0,100
161,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,2,0,0,100,0
42,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,3,0,0,0,100
123,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,4,0,0,100,0
2,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,5,0,0,0,100
21,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,6,0,0,0,100
74,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,7,0,0,0,100
151,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,8,0,0,0,100
29,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,3,9,0,0,0,100
39,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,10,0,0,0,100
159,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,11,0,0,0,100
111,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,12,0,0,0,100
61,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,13,0,0,0,100
11,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,14,0,0,0,100
132,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,15,0,0,0,100
147,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,16,0,0,0,100
98,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,17,0,0,0,100
46,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,18,0,0,0,100
165,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,4,19,0,0,0,100
110,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,20,0,0,0,100
158,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,21,0,0,100,0
38,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,22,0,0,0,100
90,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,23,0,0,0,100
27,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,24,0,0,0,100
79,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,25,0,0,0,100
129,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,26,0,0,0,100
7,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,27,0,0,0,100
168,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,28,0,0,0,100
49,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,5,29,0,0,0,100
100,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,30,0,0,0,100
48,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,31,0,0,0,100
36,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,32,0,0,0,100
156,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,33,0,0,0,100
138,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,34,0,0,0,100
87,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,35,0,0,0,100
67,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,36,0,0,0,100
15,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,37,0,0,0,100
166,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,38,0,0,0,100
116,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,6,39,0,0,0,100
81,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,40,0,0,0,100
131,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,41,0,0,0,100
150,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,42,0,0,0,100
28,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,43,0,0,0,100
51,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,44,0,0,0,100
101,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,45,0,0,0,100
121,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,46,0,0,0,100
0,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,47,0,0,0,100
19,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,48,0,0,0,100
72,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,7,49,0,0,100,0
124,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,50,0,0,100,0
75,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,51,0,0,100,0
82,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,52,0,0,0,100
30,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,53,0,0,0,100
152,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,54,0,0,0,100
102,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,55,0,0,0,100
162,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,56,0,0,0,100
113,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,57,0,0,0,100
63,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,58,0,0,0,100
12,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,8,59,0,0,0,100
6,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,60,0,0,0,100
57,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,61,0,0,0,100
105,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,62,0,0,0,100
155,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,63,0,0,0,100
143,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,64,0,0,100,0
20,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,65,0,0,0,100
73,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,66,0,0,0,100
122,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,67,0,0,100,0
1,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,9,68,0,0,0,100
