,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
94,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,0,3,1,0,6
24,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,1,0,0,0,10
51,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,2,1,1,0,8
145,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,3,0,0,0,10
108,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,4,2,2,0,6
138,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,5,0,0,10,0
167,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,6,2,1,0,7
3,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,7,2,4,0,4
182,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,8,0,0,0,10
62,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,10,11.4958368,9,0,0,0,10
93,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,10,0,0,0,20
125,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,11,0,0,0,20
70,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,12,2,7,0,11
98,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,13,0,0,0,20
17,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,14,0,0,0,20
43,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,15,0,0,0,20
56,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,16,0,0,0,20
82,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,17,0,0,0,20
5,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,18,3,6,0,11
30,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,20,11.4958368,19,0,0,0,20
79,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,20,0,0,0,30
90,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,21,0,0,0,30
122,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,22,0,0,0,30
154,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,23,6,7,0,17
18,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,24,1,4,0,25
45,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,25,8,4,0,18
73,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,26,6,8,0,16
101,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,27,0,0,30,0
95,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,28,10,3,0,17
126,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,30,11.4958368,29,8,8,0,14
44,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,40,11.4958368,30,0,0,0,40
64,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,40,11.4958368,31,0,0,0,40
112,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,40,11.4958368,32,0,0,0,40
144,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,40,11.4958368,33,0,0,0,40
55,0.560426548,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,40,11.4958368,34,0,0,0,40
