,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
80,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,0,0,0,0,100
118,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,1,0,0,0,100
9,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,2,0,0,100,0
42,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,3,0,0,100,0
238,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,4,0,0,0,100
277,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,5,0,0,0,100
159,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,6,0,0,100,0
200,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,7,0,0,100,0
301,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,8,0,0,100,0
339,0.0,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,9,0,0,100,0
390,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,10,0,0,0,100
423,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,11,0,0,100,0
94,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,12,0,0,0,100
133,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,13,0,0,100,0
23,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,14,0,0,100,0
58,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,15,0,0,0,100
254,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,16,0,0,0,100
289,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,17,0,0,0,100
175,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,18,0,0,100,0
216,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,19,0,0,0,100
