,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
26,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,0,0,0,0,100
78,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,1,0,0,0,100
100,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,2,0,0,0,100
148,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,3,0,0,0,100
56,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,4,0,0,0,100
108,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,5,0,0,0,100
128,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,6,0,0,0,100
8,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,7,0,0,0,100
89,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,8,0,0,0,100
136,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,3,9,0,0,0,100
145,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,10,0,0,0,100
98,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,11,29,5,0,66
45,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,12,0,0,100,0
168,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,13,0,0,0,100
118,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,14,0,0,0,100
67,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,15,0,0,0,100
82,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,16,0,0,0,100
29,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,17,0,0,0,100
151,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,18,0,0,0,100
102,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,4,19,0,0,0,100
44,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,20,0,0,0,100
97,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,21,0,0,0,100
144,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,22,0,0,0,100
22,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,23,0,0,0,100
132,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,24,0,0,0,100
12,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,25,0,0,0,100
61,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,26,0,0,0,100
112,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,27,0,0,0,100
104,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,28,0,0,0,100
154,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,5,29,0,0,0,100
31,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,30,0,0,0,100
153,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,31,0,0,0,100
15,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,32,0,0,0,100
135,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,33,0,0,0,100
116,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,34,0,0,0,100
65,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,35,0,0,0,100
43,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,36,0,0,100,0
166,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,37,0,0,0,100
143,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,38,0,0,100,0
96,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,6,39,0,0,0,100
141,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,40,0,0,0,100
20,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,41,0,0,0,100
40,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,42,0,0,0,100
94,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,43,0,0,100,0
113,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,44,14,10,0,76
163,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,45,0,0,0,100
13,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,46,0,0,0,100
62,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,47,0,0,0,100
85,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,48,0,0,0,100
133,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,7,49,0,0,0,100
101,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,50,0,0,0,100
49,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,51,0,0,0,100
58,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,52,31,11,0,58
10,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,53,0,0,0,100
130,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,54,0,0,0,100
81,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,55,0,0,0,100
140,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,56,0,0,0,100
93,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,57,0,0,0,100
39,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,58,0,0,0,100
162,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,8,59,21,8,0,71
69,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,60,19,12,0,69
121,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,61,33,18,0,49
0,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,62,0,0,0,100
48,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,63,30,27,0,43
77,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,64,42,21,0,37
127,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,65,29,16,0,55
7,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,66,29,15,0,56
55,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,67,0,0,0,100
107,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,68,0,0,0,100
157,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,9,69,0,0,0,100
34,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,70,30,25,0,45
156,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,71,23,22,0,55
21,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,72,0,0,0,100
142,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,73,0,0,0,100
124,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,74,0,0,0,100
72,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,75,0,0,0,100
165,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,76,23,30,0,47
115,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,77,19,24,0,57
95,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,78,25,11,0,64
42,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,10,79,25,19,0,56
161,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,80,13,8,0,79
38,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,81,24,14,0,62
59,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,82,25,13,0,62
111,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,83,25,30,0,45
19,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,84,35,19,0,46
70,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,85,26,24,0,50
92,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,86,40,9,0,51
139,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,87,21,14,0,65
103,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,88,0,0,0,100
152,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11,89,33,12,0,55
53,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,90,20,10,0,70
5,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,91,30,18,0,52
126,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,92,20,20,0,60
76,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,93,3,4,0,93
24,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,94,27,8,0,65
146,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,95,29,20,0,51
138,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,96,25,19,0,56
11,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,97,15,14,0,71
50,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,12,98,26,21,0,53
