,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
102,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,0,0,0,0,100
144,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,1,0,0,0,100
30,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,2,0,0,0,100
61,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,3,0,0,0,100
259,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,4,0,0,0,100
303,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,5,0,0,0,100
185,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,6,0,0,0,100
220,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,7,0,0,0,100
331,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,8,0,0,0,100
372,0.560426548,0.486656242,0.523613688,0.0,0.11,0.274353174,0.517588437,100,11.4958368,9,0,0,0,100
483,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,10,0,0,0,100
11,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,11,0,0,0,100
194,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,12,0,0,0,100
230,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,13,0,0,0,100
112,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,14,0,0,0,100
155,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,15,0,0,0,100
166,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,16,0,0,0,100
202,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,17,0,0,100,0
86,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,18,0,0,0,100
126,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.11,0.274353174,0.517588437,100,11.4958368,19,0,0,0,100
56,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.11,0.274353174,0.517588437,100,11.4958368,20,0,0,0,100
96,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.11,0.274353174,0.517588437,100,11.4958368,21,0,0,0,100
497,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.11,0.274353174,0.517588437,100,11.4958368,22,0,0,0,100
26,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.11,0.274353174,0.517588437,100,11.4958368,23,0,0,0,100
