,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
173,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,0,0,0,100,0
22,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,1,0,0,0,100
36,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,2,0,0,100,0
76,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,3,0,0,0,100
256,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,4,0,0,100,0
293,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,5,0,0,0,100
185,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,6,0,0,0,100
221,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,7,0,0,100,0
317,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,8,0,0,100,0
355,0.0,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,9,0,0,0,100
343,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,10,0,0,100,0
380,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,11,0,0,100,0
64,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,12,0,0,0,100
106,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,13,0,0,0,100
486,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,14,0,0,0,100
24,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,15,0,0,100,0
214,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,16,0,0,100,0
247,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,17,0,0,100,0
143,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,18,0,0,0,100
176,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,19,0,0,0,100
351,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,20,0,0,100,0
388,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,21,0,0,0,100
279,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,22,0,0,100,0
315,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,23,0,0,0,100
194,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,24,0,0,100,0
203,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,25,0,0,100,0
340,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,26,0,0,100,0
186,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,27,0,0,0,100
218,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,28,0,0,100,0
73,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,29,0,0,100,0
289,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,30,0,0,100,0
329,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,31,0,0,0,100
425,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,32,0,0,100,0
457,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,33,0,0,100,0
112,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,34,0,0,0,100
387,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,35,0,0,0,100
71,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,36,0,0,0,100
148,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,37,0,0,100,0
497,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,38,0,0,87,13
31,0.061224489795918366,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,39,0,0,100,0
414,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,40,0,0,0,100
444,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,41,0,0,0,100
169,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,42,0,0,0,100
379,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,43,0,0,100,0
352,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,44,0,0,0,100
103,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,45,0,0,0,100
415,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,46,0,0,0,100
21,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,47,0,0,0,100
126,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,48,0,0,100,0
162,0.08163265306122448,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,49,0,0,0,100
448,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,50,0,0,100,0
485,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,51,0,0,100,0
175,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,52,0,0,100,0
213,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,53,0,0,100,0
105,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,54,0,0,0,100
142,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,55,0,0,0,100
234,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,56,0,0,0,100
270,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,57,0,0,100,0
165,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,58,0,0,100,0
201,0.1020408163265306,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,59,0,0,100,0
334,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,60,0,0,0,100
217,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,61,0,0,0,100
257,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,62,0,0,100,0
274,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,63,0,0,100,0
49,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,64,0,0,0,100
91,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,65,0,0,0,100
475,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,66,0,0,0,100
9,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,67,0,0,100,0
200,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,68,0,0,0,100
233,0.12244897959183673,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,69,0,0,100,0
98,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,70,0,0,0,100
136,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,71,0,0,0,100
225,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,72,0,0,100,0
260,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,73,0,0,0,100
157,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,74,0,0,0,100
189,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,75,0,0,0,100
375,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,76,0,0,0,100
408,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,77,0,0,0,100
297,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,78,0,0,100,0
336,0.14285714285714285,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,79,0,0,100,0
156,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,80,0,0,0,100
188,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,81,0,0,100,0
80,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,82,0,0,0,100
123,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,83,0,0,0,100
296,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,84,0,0,100,0
335,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,85,0,0,0,100
224,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,86,0,0,0,100
259,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,87,0,0,0,100
150,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,88,0,0,34,66
367,0.16326530612244897,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,89,0,0,100,0
2,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,90,0,0,0,100
38,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,91,0,0,0,100
223,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,92,0,0,100,0
258,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,93,0,0,100,0
155,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,94,0,0,0,100
187,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,95,0,0,0,100
135,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,96,0,0,0,100
482,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,97,0,0,0,100
56,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,98,0,0,0,100
97,0.18367346938775508,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,99,0,0,0,100
490,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,100,0,0,0,100
27,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,101,0,0,0,100
420,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,102,0,0,0,100
453,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,103,0,0,0,100
54,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,104,0,0,0,100
95,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,105,0,0,0,100
479,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,106,0,0,0,100
15,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,107,0,0,0,100
207,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,108,0,0,0,100
240,0.2040816326530612,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,109,0,0,0,100
102,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,110,0,0,0,100
140,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,111,0,0,0,100
229,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,112,0,0,0,100
264,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,113,0,0,0,100
161,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,114,0,0,0,100
158,0.22448979591836732,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,115,0,0,0,100
