,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
48,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,0,0,0,100,0
100,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,1,0,0,0,100
121,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,2,0,0,0,100
0,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,3,0,0,0,100
80,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,4,0,0,0,100
131,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,5,0,0,0,100
150,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,6,0,0,100,0
28,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,7,0,0,100,0
109,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,8,0,0,100,0
158,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,3,9,0,0,0,100
168,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,10,0,0,100,0
120,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,11,0,0,0,100
68,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,12,0,0,0,100
16,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,13,0,0,0,100
140,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,14,0,0,0,100
90,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,15,0,0,0,100
102,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,16,0,0,0,100
50,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,17,0,0,0,100
1,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,18,0,0,0,100
123,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,4,19,0,0,100,0
67,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,20,0,0,0,100
119,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,21,0,0,100,0
167,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,22,0,0,0,100
45,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,23,0,0,100,0
154,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,24,0,0,0,100
33,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,25,0,0,100,0
85,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,26,0,0,0,100
135,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,27,0,0,100,0
126,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,28,0,0,0,100
4,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,5,29,0,0,0,100
53,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,6,30,0,0,0,100
3,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,100,6,31,0,0,100,0
