,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
122,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,0,0,0,10,0
152,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,1,0,0,0,10
178,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,2,0,0,0,10
15,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,3,0,0,10,0
45,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,4,0,0,0,10
72,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,5,0,0,0,10
99,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,6,0,0,0,10
127,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,7,0,0,0,10
134,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,8,0,0,0,10
115,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,10,11.4958368,9,0,0,10,0
162,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,10,0,0,0,20
135,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,11,0,0,0,20
5,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,12,0,0,0,20
34,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,13,0,0,0,20
141,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,14,0,0,0,20
169,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,15,0,0,0,20
132,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,16,0,0,20,0
107,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,17,0,0,0,20
129,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,18,0,0,0,20
159,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,20,11.4958368,19,0,0,0,20
187,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,30,11.4958368,20,0,0,0,30
157,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,30,11.4958368,21,0,0,0,30
126,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,30,11.4958368,22,0,0,0,30
103,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,30,11.4958368,23,0,0,0,30
145,0.560426548,0.486656242,0.523613688,0.544587569,0.25077003,0.274353174,0.517588437,30,11.4958368,24,0,0,30,0
