;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
9808;0.66064453125;0.96728515625;0.13818359375;0.57470703125;0.39208984375;9808;0;0;0;110
9809;0.66064453125;0.96728515625;0.13818359375;0.57373046875;0.81689453125;9809;0;0;0;110
9810;0.66064453125;0.52001953125;0.55126953125;0.57470703125;0.81689453125;9810;0;0;0;110
9811;0.48193359375;0.96728515625;0.55126953125;0.57470703125;0.81689453125;9811;0;0;0;110
9812;0.48193359375;0.52001953125;0.13818359375;0.57470703125;0.81689453125;9812;0;0;0;110
9813;0.48193359375;0.52001953125;0.55126953125;0.57373046875;0.81689453125;9813;0;0;0;110
9814;0.48193359375;0.52001953125;0.55126953125;0.57470703125;0.39208984375;9814;0;0;0;110
9815;0.48193359375;0.52001953125;0.55126953125;0.57470703125;0.81689453125;9815;0;0;0;110
9816;0.91064453125;0.21728515625;0.88818359375;0.32373046875;0.14208984375;9816;21;50;0;39
9817;0.23193359375;0.21728515625;0.88818359375;0.32373046875;0.14208984375;9817;0;0;28;82
9818;0.91064453125;0.27001953125;0.88818359375;0.32373046875;0.14208984375;9818;20;42;0;48
9819;0.91064453125;0.21728515625;0.80126953125;0.32373046875;0.14208984375;9819;28;55;0;27
9820;0.91064453125;0.21728515625;0.88818359375;0.82470703125;0.14208984375;9820;9;65;0;36
9821;0.91064453125;0.21728515625;0.88818359375;0.32373046875;0.56689453125;9821;0;0;27;83
9822;0.91064453125;0.27001953125;0.80126953125;0.82470703125;0.56689453125;9822;0;0;0;110
9823;0.23193359375;0.21728515625;0.80126953125;0.82470703125;0.56689453125;9823;0;0;0;110
9824;0.23193359375;0.27001953125;0.88818359375;0.82470703125;0.56689453125;9824;0;0;0;110
9825;0.23193359375;0.27001953125;0.80126953125;0.32373046875;0.56689453125;9825;0;0;0;110
9826;0.23193359375;0.27001953125;0.80126953125;0.82470703125;0.14208984375;9826;0;0;0;110
9827;0.23193359375;0.27001953125;0.80126953125;0.82470703125;0.56689453125;9827;0;0;0;110
9828;0.41064453125;0.71728515625;0.38818359375;0.82373046875;0.64208984375;9828;0;0;0;110
9829;0.73193359375;0.71728515625;0.38818359375;0.82373046875;0.64208984375;9829;0;0;0;110
9830;0.41064453125;0.77001953125;0.38818359375;0.82373046875;0.64208984375;9830;0;0;0;110
9831;0.41064453125;0.71728515625;0.30126953125;0.82373046875;0.64208984375;9831;0;0;0;110
9832;0.41064453125;0.71728515625;0.38818359375;0.32470703125;0.64208984375;9832;0;0;0;110
9833;0.41064453125;0.71728515625;0.38818359375;0.82373046875;0.06689453125;9833;4;89;0;17
9834;0.41064453125;0.77001953125;0.30126953125;0.32470703125;0.06689453125;9834;8;78;0;24
9835;0.73193359375;0.71728515625;0.30126953125;0.32470703125;0.06689453125;9835;21;75;0;14
9836;0.73193359375;0.77001953125;0.38818359375;0.32470703125;0.06689453125;9836;10;78;0;22
9837;0.73193359375;0.77001953125;0.30126953125;0.82373046875;0.06689453125;9837;7;91;0;12
9838;0.73193359375;0.77001953125;0.30126953125;0.32470703125;0.64208984375;9838;0;0;0;110
9839;0.73193359375;0.77001953125;0.30126953125;0.32470703125;0.06689453125;9839;13;79;0;18
9840;0.28564453125;0.09228515625;0.01318359375;0.94873046875;0.51708984375;9840;0;0;0;110
9841;0.85693359375;0.09228515625;0.01318359375;0.94873046875;0.51708984375;9841;0;0;0;110
9842;0.28564453125;0.39501953125;0.01318359375;0.94873046875;0.51708984375;9842;0;0;0;110
9843;0.28564453125;0.09228515625;0.92626953125;0.94873046875;0.51708984375;9843;0;0;84;26
9844;0.28564453125;0.09228515625;0.01318359375;0.94970703125;0.51708984375;9844;0;0;0;110
9845;0.28564453125;0.09228515625;0.01318359375;0.94873046875;0.94189453125;9845;0;0;0;110
9846;0.28564453125;0.39501953125;0.92626953125;0.94970703125;0.94189453125;9846;0;0;0;110
9847;0.85693359375;0.09228515625;0.92626953125;0.94970703125;0.94189453125;9847;0;0;73;37
9848;0.85693359375;0.39501953125;0.01318359375;0.94970703125;0.94189453125;9848;0;0;0;110
9849;0.85693359375;0.39501953125;0.92626953125;0.94873046875;0.94189453125;9849;0;0;0;110
